80,,80.,80,C8,Аппаратчик выделения псевдобутилена,Псевдобутилен ажратиб олиш аппаратчиси,8154,П,4,ССПО,3320400,Psevdobutilen ajratib olish apparatchisi,i,80
81,,81.,81,C8,Аппаратчик выделения серы,Олтингугурт ажратиб олиш аппаратчиси,8154,П,2 — 6,ССПО,3320400,Oltingugurt ajratib olish apparatchisi,i,81
82,,82.,82,C8,Аппаратчик выделения фтористого бора,Фторли бор ажратиб олиш аппаратчиси,8154,П,2 — 6,ССПО,3320400,Ftorli bor ajratib olish apparatchisi,i,82
83,,83.,83,C8,Аппаратчик выпаривания,Буғлаш аппаратчиси,8152,П,2 — 6,ССПО,3320400,Bug‘lash apparatchisi,i,83
84,,84.,84,C8,Аппаратчик выпаривания и гранулирования,Буғлаш ва қумоқлаш аппаратчиси,8225,П,3 — 6,ССПО,3320400,Bug‘lash va qumoqlash apparatchisi,i,84
85,,85.,85,C8,Аппаратчик выпарных аппаратов для получения жидкого продукта,Суюқ маҳсулот олишга мўлжалланган буғлаш аппаратлари аппаратчиси,8269,П,5,ССПО,3320400,suyuq mahsulot olishga mo‘ljallangan Bug‘lash apparatlari apparatchisi,i,85
86,,86.,86,C8,Аппаратчик выпарных аппаратов для получения твердого продукта,Қаттиқ маҳсулот олишга мўлжалланган буғлаш аппаратлари аппаратчиси,8269,П,4,ССПО,3320400,qattiq mahsulot olishga mo‘ljallangan Bug‘lash apparatlari apparatchisi,i,86
87,,87.,87,C8,Аппаратчик выращивания дрожжей,Дрожжиларни етиштириш аппаратчиси,8278,П,3,ССПО,3321000,Drojjilarni etishtirish apparatchisi,i,87
88,,88.,88,C8,Аппаратчик высаждения,Тиндириш аппаратчиси,8232,П,4 — 6,ССПО,3320400,Tindirish apparatchisi,i,88
89,,89.,89,C8,Аппаратчик вытопки,Эритиш аппаратчиси,8265,П,3,ССПО,3320900,Eritish apparatchisi,i,89
90,,90.,90,C8,Аппаратчик вытяжки,Чўзиш аппаратчиси,8226,П,2 — 6,ССПО,3320400,Cho‘zish apparatchisi,i,90
91,,91.,91,C8,Аппаратчик выщелачивания,Ишқорда парчалаш аппаратчиси,8159,П,2 — 4,ССПО,3320400,ishqorda parchalash apparatchisi,i,91
92,,92.,92,C8,Аппаратчик газового консервирования,Газли консервалаш аппаратчиси,8271,П,2 — 6,ССПО,3321000,Gazli konservalash apparatchisi,i,92
93,,93.,93,C8,Аппаратчик газогенерации,Газогенерация аппаратчиси,8154,П,3 — 6,ССПО,3320400,Gazogeneratsiya apparatchisi,i,93
94,,94.,94,C8,Аппаратчик газоразделения,Газ ажратиш аппаратчиси,8154,П,4 — 6,ССПО,3320400,Gaz ajratish apparatchisi,i,94
95,,95.,95,C8,Аппаратчик гашения извести,Оҳакни сўндириш аппаратчиси,8159,П,2 — 5,ССПО,3320400,Ohakni so‘ndirish apparatchisi,i,95
96,,96.,96,C8,Аппаратчик гидратации,Гидратация аппаратчиси,8278,П,3 — 5,ССПО,3321000,Gidratatsiya apparatchisi,i,96
1860,,1819.,1819,C8,Маркёр,Маркёр,5149,О,1 — 3,ССПО,"3320200, 3320300",Markyor,w,97
97,,97.,97,C8,Аппаратчик гидратации (химическое производство),Гидратация аппаратчиси (химия саноати),8229,П,3 — 6,ССПО,3320400,Gidratatsiya apparatchisi (ximiya sanoati),i,98
98,,98.,98,C8,Аппаратчик гидрирования,Намлаш аппаратчиси,8154,П,3 — 6,ССПО,3320400,Namlash apparatchisi,i,99
99,,99.,99,C8,Аппаратчик гидролиза,Гидролиз аппаратчиси,8154,П,2 — 6,ССПО,3320400,Gidroliz apparatchisi,i,100
100,,100.,100,C8,Аппаратчик гидролиза жира и печени,Ёғ ва жигарни гидролизлаш аппаратчиси,8271,П,4,ССПО,3321000,Yog‘ va jigarni gidrolizlash apparatchisi,i,101
101,,101.,101,C8,Аппаратчик гидролиза крахмального молока,Крахмал сутини гидролизлаш аппаратчиси,8274,П,2 — 6,ССПО,3321000,Kraxmal sutini gidrolizlash apparatchisi,i,102
102,,102.,102,C8,Аппаратчик гидрохлорирования,Гидрохлорлаш аппаратчиси,8154,П,4 — 6,ССПО,3320400,Gidroxlorlash apparatchisi,i,103
103,,103.,103,C8,Аппаратчик гомогенизации,Гомогенлаш аппаратчиси,8275,П,2 — 6,ССПО,3321000,Gomogenlash apparatchisi,i,104
104,,104.,104,C8,Аппаратчик гомогенизации пластических масс,Пластмассани гомогенлаш аппаратчиси,8232,П,2 — 6,ССПО,3320400,Plastmassani gomogenlash apparatchisi,i,105
105,,105.,105,C8,Аппаратчик гранулирования,Қумоқлаш аппаратчиси,8152,П,2 — 6,ССПО,3320400,qumoqlash apparatchisi,i,106
106,,106.,106,C8,Аппаратчик деаэрации,Деаэрация аппаратчиси,8154,П,4,ССПО,3320400,Deaeratsiya apparatchisi,i,107
107,,107.,107,C8,Аппаратчик дегидратации,Дегидратация аппаратчиси,8154,П,3 — 5,ССПО,3320400,Degidratatsiya apparatchisi,i,108
108,,108.,108,C8,Аппаратчик дегидрирования,Дегидрирлаш аппаратчиси,8152,П,3 — 6,ССПО,3320400,Degidrirlash apparatchisi,i,109
109,,109.,109,C8,Аппаратчик дезодорации,Дезодорация аппаратчиси,8272,П,4,ССПО,3321000,Dezodoratsiya apparatchisi,i,110
110,,110.,110,C8,Аппаратчик декарбоксилирования,Декарбоксиллаш аппаратчиси,8221,П,3 — 5,ССПО,3320400,DekarbOqsillash apparatchisi,i,111
111,,111.,111,C8,Аппаратчик деполимеризации,Деполимеризация аппаратчиси,8154,П,3 — 5,ССПО,3320400,Depolimerizatsiya apparatchisi,i,112
112,,112.,112,C8,Аппаратчик десорбции,Десорбция аппаратчиси,8159,П,3 — 5,ССПО,3320400,Desorbtsiya apparatchisi,i,113
113,,113.,113,C8,Аппаратчик деструкции,Деструкция аппаратчиси,8232,П,2 — 6,ССПО,3320400,Destruktsiya apparatchisi,i,114
114,,114.,114,C8,Аппаратчик десублимации,Десублимация аппаратчиси,8159,П,3 — 5,ССПО,3320400,Desublimatsiya apparatchisi,i,115
115,,115.,115,C8,Аппаратчик дефекосатурации свекловичного сока,Қандлавлаги шарбатини дефекосатурациялаш аппаратчиси,8276,П,3 — 5,ССПО,3321000,qandlavlagi sharbatini defekosaturatsiyalash apparatchisi,i,116
116,,116.,116,C8,Аппаратчик диазотирования,Диазотлаш аппаратчиси,8159,П,3 — 5,ССПО,3320400,Diazotlash apparatchisi,i,117
117,,117.,117,C8,Аппаратчик димеризации,Димеризация аппаратчиси,8154,П,2 — 6,ССПО,3320400,Dimerizatsiya apparatchisi,i,118
118,,118.,118,C8,Аппаратчик диспергирования пигментов и красителей,Мойбўёқлар ва бўёқларни диспергирлаш аппаратчиси,8225,П,2 — 5,ССПО,3320400,Moybo‘yoqlar va bo‘yoqlarni dispergirlash apparatchisi,i,119
119,,119.,119,C8,Аппаратчик диспергирования щелочных металлов,Ишқорли металларни диспергирлаш аппаратчиси,8154,П,2 — 6,ССПО,3320400,ishqorli metallarni dispergirlash apparatchisi,i,120
120,,120.,120,C8,Аппаратчик диспропорционирования,Диспропорциялаш аппаратчиси,8154,П,2 — 6,ССПО,3320400,Disproportsiyalash apparatchisi,i,121
121,,121.,121,C8,Аппаратчик диффузии,Диффузиялаш аппаратчиси,8275,П,2 — 6,ССПО,3321000,Diffuziyalash apparatchisi,i,122
122,,122.,122,C8,Аппаратчик дозирования,Дозалаш аппаратчиси,8159,П,2 — 5,ССПО,3320400,Dozalash apparatchisi,i,123
123,,123.,123,C8,Аппаратчик дозревания,Етилтириш аппаратчиси,8232,П,4,ССПО,3320400,Etiltirish apparatchisi,i,124
