objectid,region_name,countryside_name,parent_code,district_name,district_id,countryside_id,shape_Length,shape_Area
87,Andijon viloyati,Mustaxkam MFY,1703,Xo'jaobod tumani,1703236,1703236033,11231.0587940637,5532160.254468788
88,Andijon viloyati,Ko'prikboshi MFY,1703,Xo'jaobod tumani,1703236,1703236014,15336.2762675813,5941909.833915481
89,Andijon viloyati,Uch ko'cha MFY,1703,Xo'jaobod tumani,1703236,1703236016,16901.5276586016,7792093.884525154
90,Andijon viloyati,Shahrixonsoy MFY,1703,Xo'jaobod tumani,1703236,1703236007,12159.1395328826,5165335.412769772
91,Andijon viloyati,Yangi xayot MFY,1703,Xo'jaobod tumani,1703236,1703236035,16665.3007612218,9633915.779305313
92,Andijon viloyati,Sarqamish MFY,1703,Xo'jaobod tumani,1703236,1703236036,12809.4672688786,5118522.154719329
93,Andijon viloyati,Sanoatchilar MFY,1703,Xo'jaobod tumani,1703236,1703236017,13888.9937240978,8333266.874252765
94,Andijon viloyati,Solpi MFY,1703,Xo'jaobod tumani,1703236,1703236019,16644.8258814811,10866782.168619473
95,Andijon viloyati,Bobur MFY,1703,Xo'jaobod tumani,1703236,1703236006,11985.6870507073,4273461.918030001
96,Andijon viloyati,Baxrin MFY,1703,Xo'jaobod tumani,1703236,1703236002,5722.6250717755,1311788.2980794117
97,Andijon viloyati,Navoiy MFY,1703,Xo'jaobod tumani,1703236,1703236001,10812.6775673039,3824710.1290577604
98,Andijon viloyati,Andijon MFY,1703,Xo'jaobod tumani,1703236,1703236031,8220.0191470704,3013845.29031495
99,Andijon viloyati,Beshkaram MFY,1703,Xo'jaobod tumani,1703236,1703236005,15600.0363994551,8195350.960288345
100,Andijon viloyati,Uzun ko'cha MFY,1703,Xo'jaobod tumani,1703236,1703236004,3386.4850425934,630160.1702257994
101,Andijon viloyati,Navbaxor MFY,1703,Xo'jaobod tumani,1703236,1703236003,6863.4767529167,1809283.5422092476
102,Andijon viloyati,Jome MFY,1703,Xo'jaobod tumani,1703236,1703236032,11031.2565349248,3477846.7007543216
103,Andijon viloyati,Chimbuloq MFY,1703,Xo'jaobod tumani,1703236,1703236011,12414.3038420257,5124728.580349192
104,Andijon viloyati,Yuksalish MFY,1703,Xo'jaobod tumani,1703236,1703236008,17243.103761571,10435876.935931668
105,Andijon viloyati,Guliston MFY,1703,Xo'jaobod tumani,1703236,1703236022,14009.4960072968,6417413.885260765
106,Andijon viloyati,Manak MFY,1703,Xo'jaobod tumani,1703236,1703236021,9899.4185231313,4730851.439115739
107,Andijon viloyati,Anhor MFY,1703,Xonabod shahar,1703408,1703408014,9613.6837453101,2876380.3914310755
108,Andijon viloyati,Bunyodkor MFY,1703,Xonabod shahar,1703408,1703408009,7629.0016480832,1961716.0824331008
109,Andijon viloyati,Kampirovvot MFY,1703,Xonabod shahar,1703408,1703408015,28210.0731427573,22190578.231221754
110,Andijon viloyati,Mehmonobod MFY,1703,Xonabod shahar,1703408,1703408001,12709.9138630169,5160836.856668655
111,Andijon viloyati,Mustaqillik MFY,1703,Xonabod shahar,1703408,1703408002,11083.8750945946,2981164.6119637964
112,Andijon viloyati,Alisher Navoiy MFY,1703,Xonabod shahar,1703408,1703408013,11565.812594563,3045236.9968609307
113,Andijon viloyati,Teyit MFY,1703,Xonabod shahar,1703408,1703408011,9528.3402459453,3745331.6737133185
114,Andijon viloyati,Istiqlol MFY,1703,Xonabod shahar,1703408,1703408010,7536.5744841462,2686909.3360150484
115,Andijon viloyati,Xidirsha MFY,1703,Xonabod shahar,1703408,1703408004,17379.9685493081,11852055.82450466
116,Andijon viloyati,Xonobod MFY,1703,Xonabod shahar,1703408,1703408006,8410.2976581775,1463627.812521347
117,Andijon viloyati,Yuksalish MFY,1703,Xonabod shahar,1703408,1703408007,9328.9745524106,3564578.86386093
118,Andijon viloyati,Yangi xayot MFY,1703,Xonabod shahar,1703408,1703408008,9123.9721530914,4014505.007220523
119,Andijon viloyati,A.Fitrat MFY,1703,Xonabod shahar,1703408,1703408005,2766.3319408414,399551.4225955996
120,Andijon viloyati,Qashqar MFY,1703,Buloqboshi tumani,1703210,1703210019,33501.5342205781,29037197.378375985
121,Andijon viloyati,Zarg‘oldoq MFY,1703,Buloqboshi tumani,1703210,1703210025,18336.0240466045,7516294.741543275
122,Andijon viloyati,Guliston MFY,1703,Buloqboshi tumani,1703210,1703210003,9672.380059629,3426997.5335510965
123,Andijon viloyati,Barlos MFY,1703,Buloqboshi tumani,1703210,1703210027,18657.9135215831,9837131.604016019
124,Andijon viloyati,Chaqar MFY,1703,Buloqboshi tumani,1703210,1703210007,19531.9497313108,9563586.35890854
125,Andijon viloyati,Qumguzar MFY,1703,Buloqboshi tumani,1703210,1703210005,11216.0914530671,5763153.504189656
126,Andijon viloyati,Farovon MFY,1703,Buloqboshi tumani,1703210,1703210006,7851.5155263513,2200880.59846694
127,Andijon viloyati,Xontepa MFY,1703,Buloqboshi tumani,1703210,1703210002,6747.8307205697,1491455.727977048
128,Andijon viloyati,Toshkechik MFY,1703,Buloqboshi tumani,1703210,1703210001,8381.3339331777,1818751.624610307
129,Andijon viloyati,Uchtepa MFY,1703,Buloqboshi tumani,1703210,1703210024,22438.6039230416,10888461.449249728
130,Andijon viloyati,Tinchlik MFY,1703,Buloqboshi tumani,1703210,1703210026,10078.8862621663,3863788.522574297
131,Andijon viloyati,Soxibkor MFY,1703,Buloqboshi tumani,1703210,1703210018,12439.0851912643,7104495.38336466
132,Andijon viloyati,Nurzamin MFY,1703,Buloqboshi tumani,1703210,1703210015,12115.2314863336,3426189.405041331
133,Andijon viloyati,Sarbontepa MFY,1703,Buloqboshi tumani,1703210,1703210020,29636.0040605497,29533424.797701865
134,Andijon viloyati,Shirmonbuloq MFY,1703,Buloqboshi tumani,1703210,1703210023,15902.9653281595,9099616.109784124
135,Andijon viloyati,Qaqir MFY,1703,Buloqboshi tumani,1703210,1703210022,17312.0211882214,17317362.45422998
136,Andijon viloyati,Navoiy MFY,1703,Buloqboshi tumani,1703210,1703210021,11926.2924707412,6670723.496658524
137,Andijon viloyati,Rivoj MFY,1703,Buloqboshi tumani,1703210,1703210030,12296.0582710505,6113216.530726
138,Andijon viloyati,Bozorboshi MFY,1703,Buloqboshi tumani,1703210,1703210029,25764.3838077347,9866929.41185084
139,Andijon viloyati,Soybo‘yi MFY,1703,Buloqboshi tumani,1703210,1703210028,11871.7194040271,4605422.339086831
140,Andijon viloyati,Baynalminal MFY,1703,Buloqboshi tumani,1703210,1703210016,16142.9935736471,13888497.173524948
141,Andijon viloyati,Sharq yulduzi MFY,1703,Buloqboshi tumani,1703210,1703210017,15140.2242460523,11155200.660423048
142,Andijon viloyati,Qumariq MFY,1703,Buloqboshi tumani,1703210,1703210012,35534.9135625451,26069353.00409499
143,Andijon viloyati,Do‘lana MFY,1703,Buloqboshi tumani,1703210,1703210011,16085.9429111186,10850484.55250733
144,Andijon viloyati,BoyMFY,1703,Buloqboshi tumani,1703210,1703210010,10299.1195383524,3517087.709933623
145,Andijon viloyati,M.Ismoiliy MFY,1703,Buloqboshi tumani,1703210,1703210004,4325.2181945051,821235.7529511086
146,Andijon viloyati,Uch ko‘cha MFY,1703,Buloqboshi tumani,1703210,1703210014,7816.2237141762,1082419.589570559
147,Andijon viloyati,Shoxguzar MFY,1703,Buloqboshi tumani,1703210,1703210013,5455.6997526526,1147981.1661633055
148,Andijon viloyati,Yuksalish MFY,1703,Buloqboshi tumani,1703210,1703210009,9247.6054283705,3670450.362116057
149,Andijon viloyati,Fozilmon MFY,1703,Xonabod shahar,1703408,1703408003,6471.585594149,1461289.199088485
150,Andijon viloyati,Fayzobod MFY,1703,Xo'jaobod tumani,1703236,1703236030,24266.9798685833,14585599.707066908
151,Andijon viloyati,Yangi O'zbekiston MFY,1703,Xonabod shahar,1703408,1703408016,7442.0633694389,1701965.8579306605
152,Andijon viloyati,Ko‘prikboshi MFY,1703,Buloqboshi tumani,1703210,1703210031,15510.8998617611,5410431.224639659
153,Andijon viloyati,Raish MFY,1703,Buloqboshi tumani,1703210,1703210032,27119.1289774203,13659749.017483607
154,Andijon viloyati,Yorboshi MFY,1703,Buloqboshi tumani,1703210,1703210033,24107.9488814175,21241018.218749896
155,Andijon viloyati,Neftchilar MFY,1703,Buloqboshi tumani,1703210,1703210034,10083.0527143841,3077347.5951229585
156,Andijon viloyati,Istiqlol MFY,1703,Buloqboshi tumani,1703210,1703210036,8627.1933710053,3107813.6962474585
157,Andijon viloyati,Balandchek MFY,1703,Buloqboshi tumani,1703210,1703210037,11197.1976061023,2138889.152479439
158,Andijon viloyati,Sanoat MFY,1703,Buloqboshi tumani,1703210,1703210035,19164.5842051304,12657718.943873249
159,Andijon viloyati,Buyuk turon MFY,1703,Buloqboshi tumani,1703210,1703210008,7539.5590568461,2347211.3458158392
160,Andijon viloyati,O‘zbekiston MFY,1703,Jalaquduq tumani,1703211,1703211049,23110.1320170309,10434988.06078938
161,Andijon viloyati,Aqcha MFY,1703,Jalaquduq tumani,1703211,1703211001,23647.5300010423,9070421.757780163
162,Andijon viloyati,Qutlug‘ MFY,1703,Jalaquduq tumani,1703211,1703211027,29155.5100105942,13002986.495757854
163,Andijon viloyati,Osuda xayot MFY,1703,Jalaquduq tumani,1703211,1703211046,26792.6512882005,32073827.7291032
164,Andijon viloyati,Haqiqat MFY,1703,Jalaquduq tumani,1703211,1703211051,24090.7755986192,21226006.68924627
165,Andijon viloyati,Qoʻrtqi MFY,1703,Jalaquduq tumani,1703211,1703211044,26107.9428156542,26943482.665498372
166,Andijon viloyati,Qo‘shterak MFY,1703,Jalaquduq tumani,1703211,1703211028,29213.2067213178,12124228.851076737
167,Andijon viloyati,Guliston (Beshtol) MFY,1703,Jalaquduq tumani,1703211,1703211022,15627.0266108537,9431977.565689461
168,Andijon viloyati,Xamza MFY,1703,Jalaquduq tumani,1703211,1703211030,19075.1244349204,10342846.366344372
169,Andijon viloyati,Beshtol MFY,1703,Jalaquduq tumani,1703211,1703211019,21147.3500603928,8364919.121629172
170,Andijon viloyati,Yorqishloq MFY,1703,Jalaquduq tumani,1703211,1703211023,29921.9171805238,8627509.214342544
