objectid,region_name,countryside_name,parent_code,district_name,district_id,countryside_id_main,shape_Length,shape_Area,name_standardized_main,tin,name,countryside_id_new,sector,name_standardized_new,name_match
44,Andijon viloyati,Bekguzar MFY,1703,Andijon shahar,1703401,1703401059.0,8542.5704378372,2245464.8901955634,bekguzar mfy,,,,,,
45,Andijon viloyati,Bobosadin MFY,1703,Andijon shahar,1703401,1703401025.0,3223.3980693596,496374.077960973,bobosadin mfy,202716779.0,BOBOSADIN,1286.0,2.0,bobosadin,bobosadin mfy
46,Andijon viloyati,Madaniyat MFY,1703,Andijon shahar,1703401,1703401066.0,6214.7494818549,970133.108677269,madaniyat mfy,202673010.0,MADANIYAT,1328.0,4.0,madaniyat,madaniyat mfy
47,Andijon viloyati,Mexnat MFY,1703,Andijon shahar,1703401,1703401067.0,7231.6652899402,1344815.1533599007,mehnat mfy,,,,,,
48,Andijon viloyati,Saxovat MFY,1703,Andijon shahar,1703401,1703401053.0,4397.3027288122,866223.6119149292,sahovat mfy,,,,,,
49,Andijon viloyati,To‘qqiz ariq MFY,1703,Andijon shahar,1703401,1703401036.0,4416.2451797186,918102.9163644356,toqqiz ariq mfy,202672993.0,TOʻQQIZ-ARIQ,1299.0,2.0,toqqizariq,toqqiz ariq mfy
50,Andijon viloyati,Birlashgan MFY,1703,Andijon shahar,1703401,1703401024.0,2480.5136922975,261706.2462114329,birlashgan mfy,202737389.0,BIRLASHGAN,1285.0,2.0,birlashgan,birlashgan mfy
51,Andijon viloyati,O`zgarish MFY,1703,Andijon shahar,1703401,1703401054.0,3558.8807893192,529862.6288240998,ozgarish mfy,202671844.0,OʻZGARISH,1320.0,3.0,ozgarish,ozgarish mfy
52,Andijon viloyati,Taxtakoʻprik MFY,1703,Andijon shahar,1703401,1703401035.0,6430.0405653432,1444347.9255471826,tahtakoprik mfy,202775643.0,TAXTAKOʻPRIK,1298.0,2.0,tahtakoprik,tahtakoprik mfy
53,Andijon viloyati,Erkin MFY,1703,Andijon shahar,1703401,1703401078.0,3318.4385399461,431006.4128215207,erkin mfy,,,,,,
54,Andijon viloyati,Maydonbozor MFY,1703,Andijon shahar,1703401,1703401048.0,3367.6786843634,584034.0339987068,maydonbozor mfy,202729643.0,MAYDON BOZOR,1313.0,3.0,maydon bozor,maydonbozor mfy
55,Andijon viloyati,Shifokor MFY,1703,Andijon shahar,1703401,1703401056.0,3353.5174981024,583407.8898130845,shifokor mfy,204904923.0,SHIFOKOR,1322.0,3.0,shifokor,shifokor mfy
56,Andijon viloyati,Istiqlol MFY,1703,Andijon shahar,1703401,1703401039.0,2714.1404777968,316856.1328049641,istiqlol mfy,202737396.0,ISTIQLOL,1309.0,3.0,istiqlol,istiqlol mfy
57,Andijon viloyati,Z.M.Bobur MFY,1703,Andijon shahar,1703401,1703401062.0,3855.9056781508,622021.886854363,zmbobur mfy,,,,,,
58,Andijon viloyati,Birlik MFY,1703,Andijon shahar,1703401,1703401061.0,2547.7039131556,320527.2972406886,birlik mfy,,,,,,
59,Andijon viloyati,Xunarmand MFY,1703,Andijon shahar,1703401,1703401050.0,3630.6701414865,510616.1644059957,hunarmand mfy,,,,,,
60,Andijon viloyati,Qalandarxona MFY,1703,Andijon shahar,1703401,1703401047.0,4761.2113602238,1155019.4854022642,qalandarhona mfy,202291297.0,QALANDARXONA,1310.0,3.0,qalandarhona,qalandarhona mfy
61,Andijon viloyati,Yangi turmush MFY,1703,Andijon shahar,1703401,1703401038.0,3659.2357701764,671947.9849849776,yangi turmush mfy,202766187.0,YANGI TURMUSH,1302.0,2.0,yangi turmush,yangi turmush mfy
62,Andijon viloyati,Kengash MFY,1703,Andijon shahar,1703401,1703401031.0,4181.7922986242,743852.2510699078,kengash mfy,,,,,,
63,Andijon viloyati,Yaxshi MFY,1703,Andijon shahar,1703401,1703401057.0,12435.4827178575,2154294.788843675,yahshi mfy,,,,,,
64,Andijon viloyati,Uyg'urobod MFY,1703,Andijon shahar,1703401,1703401072.0,3011.1042532609,361433.7039864516,uygurobod mfy,202589486.0,UYGʻUROBOD,1339.0,4.0,uygurobod,uygurobod mfy
65,Andijon viloyati,Sholdirama (10-son) MFY,1703,Andijon shahar,1703401,1703401060.0,2422.523502913,274114.8898003825,sholdirama 10son mfy,,,,,,
66,Andijon viloyati,Navroʻz MFY,1703,Andijon shahar,1703401,1703401068.0,4652.3549028285,939931.9620986176,navroz mfy,,,,,,
67,Andijon viloyati,Shodlik MFY,1703,Andijon shahar,1703401,1703401077.0,4740.1396484365,1082609.3071828757,shodlik mfy,,,,,,
68,Andijon viloyati,Qayragʻochtagi MFY,1703,Andijon shahar,1703401,1703401046.0,9066.1576958614,2048206.998376591,qayragochtagi mfy,204854124.0,QAYRAGOCHTAGI,1312.0,3.0,qayragochtagi,qayragochtagi mfy
69,Andijon viloyati,Sog‘lom turmush MFY,1703,Andijon shahar,1703401,1703401055.0,3918.7833706205,465263.4367366346,soglom turmush mfy,,,,,,
70,Andijon viloyati,Buyuk Turon MFY,1703,Andijon shahar,1703401,1703401058.0,5953.3724592569,918740.2447432912,buyuk turon mfy,204836636.0,BUYUK TURON,1304.0,3.0,buyuk turon,buyuk turon mfy
71,Andijon viloyati,Soy MFY,1703,Andijon shahar,1703401,1703401052.0,6254.9671064205,1781080.5431218983,soy mfy,,,,,,
72,Andijon viloyati,Nishobbo'yi MFY,1703,Xo'jaobod tumani,1703236,1703236023.0,14805.71283092,3870122.9752994687,nishobboyi mfy,203057980.0,NISHOBBOʻYI,1250.0,3.0,nishobboyi,nishobboyi mfy
73,Andijon viloyati,Mustaqillikning 27 yilligi MFY,1703,Xo'jaobod tumani,1703236,1703236038.0,13247.8294988568,4659682.98974559,mustaqillikning 27 yilligi mfy,207301500.0,MUSTAQILLIKNING 27-YILLIGI,10913.0,4.0,mustaqillikning 27yilligi,mustaqillikning 27 yilligi mfy
74,Andijon viloyati,Mustaqillikning 30 yilligi MFY,1703,Xo'jaobod tumani,1703236,1703236039.0,4497.5435122397,693875.9135835838,mustaqillikning 30 yilligi mfy,309161094.0,MUSTAQILLIKNING 30-YILLIGI,15824.0,4.0,mustaqillikning 30yilligi,mustaqillikning 30 yilligi mfy
75,Andijon viloyati,Ipakchi MFY,1703,Xo'jaobod tumani,1703236,1703236018.0,22286.8898930263,8324737.142728545,ipakchi mfy,,,,,,
76,Andijon viloyati,Faqirqishloq MFY,1703,Xo'jaobod tumani,1703236,1703236027.0,22979.02257884,15232992.156495009,faqirqishloq mfy,203057958.0,FAQIR QISHLOQ,1253.0,3.0,faqir qishloq,faqirqishloq mfy
77,Andijon viloyati,To'raobod MFY,1703,Xo'jaobod tumani,1703236,1703236028.0,9861.9049356458,3816874.610199826,toraobod mfy,203057941.0,TOʻRAOBOD,1252.0,3.0,toraobod,toraobod mfy
78,Andijon viloyati,Tosh ota MFY,1703,Xo'jaobod tumani,1703236,1703236009.0,52444.1861227889,64869117.44946582,tosh ota mfy,203055422.0,TOSH OTA,1233.0,1.0,tosh ota,tosh ota mfy
79,Andijon viloyati,Xidirsha MFY,1703,Xo'jaobod tumani,1703236,1703236037.0,60756.0664646731,67863645.1702941,hidirsha mfy,203058054.0,XIDIRSHA,1262.0,4.0,hidirsha,hidirsha mfy
80,Andijon viloyati,Yangi Fargona MFY,1703,Xo'jaobod tumani,1703236,1703236029.0,11380.7250485148,3535207.1358272755,yangi fargona mfy,203055374.0,YANGI FARGʻONA,1256.0,3.0,yangi fargona,yangi fargona mfy
81,Andijon viloyati,Dilkushod MFY,1703,Xo'jaobod tumani,1703236,1703236024.0,11088.6963528403,3426415.667683136,dilkushod mfy,203055407.0,DILKUSHOD,1247.0,3.0,dilkushod,dilkushod mfy
82,Andijon viloyati,Quvvatmurod MFY,1703,Xo'jaobod tumani,1703236,1703236026.0,8258.3157749201,3017302.999293517,quvvatmurod mfy,203055399.0,QUVVATMUROD,1248.0,3.0,quvvatmurod,quvvatmurod mfy
83,Andijon viloyati,Yetmishmergan MFY,1703,Xo'jaobod tumani,1703236,1703236012.0,12234.1069769349,5194870.559770984,yetmishmergan mfy,203058039.0,YETMISHMERGAN,1238.0,2.0,yetmishmergan,yetmishmergan mfy
84,Andijon viloyati,Qurama MFY,1703,Xo'jaobod tumani,1703236,1703236034.0,12932.4955873144,7775298.245930077,qurama mfy,,,,,,
85,Andijon viloyati,Gara guri MFY,1703,Xo'jaobod tumani,1703236,1703236013.0,10895.8964509804,4326834.207506899,gara guri mfy,,,,,,
86,Andijon viloyati,Qorabuloq MFY,1703,Xo'jaobod tumani,1703236,1703236015.0,18129.0548633394,8249364.405628676,qorabuloq mfy,203058022.0,QORABULOQ ,1241.0,2.0,qorabuloq,qorabuloq mfy
87,Andijon viloyati,Mustaxkam MFY,1703,Xo'jaobod tumani,1703236,1703236033.0,11231.0587940637,5532160.254468788,mustahkam mfy,203055454.0,MUSTAXKAM,1260.0,4.0,mustahkam,mustahkam mfy
88,Andijon viloyati,Ko'prikboshi MFY,1703,Xo'jaobod tumani,1703236,1703236014.0,15336.2762675813,5941909.833915481,koprikboshi mfy,203058061.0,KOʻPRIKBOSHI,1240.0,2.0,koprikboshi,koprikboshi mfy
89,Andijon viloyati,Uch ko'cha MFY,1703,Xo'jaobod tumani,1703236,1703236016.0,16901.5276586016,7792093.884525154,uch kocha mfy,203058046.0,UCH KOʻCHA,1244.0,2.0,uch kocha,uch kocha mfy
90,Andijon viloyati,Shahrixonsoy MFY,1703,Xo'jaobod tumani,1703236,1703236007.0,12159.1395328826,5165335.412769772,shahrihonsoy mfy,203055382.0,SHAXRIXONSOY,1235.0,1.0,shahrihonsoy,shahrihonsoy mfy
91,Andijon viloyati,Yangi xayot MFY,1703,Xo'jaobod tumani,1703236,1703236035.0,16665.3007612218,9633915.779305313,yangi hayot mfy,203055350.0,YANGI HAYOT,1263.0,4.0,yangi hayot,yangi hayot mfy
92,Andijon viloyati,Sarqamish MFY,1703,Xo'jaobod tumani,1703236,1703236036.0,12809.4672688786,5118522.154719329,sarqamish mfy,203110393.0,SARQAMISH,1261.0,4.0,sarqamish,sarqamish mfy
93,Andijon viloyati,Sanoatchilar MFY,1703,Xo'jaobod tumani,1703236,1703236017.0,13888.9937240978,8333266.874252765,sanoatchilar mfy,203055414.0,SANOATCHILAR,1242.0,2.0,sanoatchilar,sanoatchilar mfy
94,Andijon viloyati,Solpi MFY,1703,Xo'jaobod tumani,1703236,1703236019.0,16644.8258814811,10866782.168619473,solpi mfy,,,,,,
95,Andijon viloyati,Bobur MFY,1703,Xo'jaobod tumani,1703236,1703236006.0,11985.6870507073,4273461.918030001,bobur mfy,,,,,,
96,Andijon viloyati,Baxrin MFY,1703,Xo'jaobod tumani,1703236,1703236002.0,5722.6250717755,1311788.2980794115,bahrin mfy,,,,,,
97,Andijon viloyati,Navoiy MFY,1703,Xo'jaobod tumani,1703236,1703236001.0,10812.6775673039,3824710.12905776,navoiy mfy,,,,,,
98,Andijon viloyati,Andijon MFY,1703,Xo'jaobod tumani,1703236,1703236031.0,8220.0191470704,3013845.29031495,andijon mfy,,,,,,
99,Andijon viloyati,Beshkaram MFY,1703,Xo'jaobod tumani,1703236,1703236005.0,15600.0363994551,8195350.960288345,beshkaram mfy,203135844.0,BESHKARAM,1227.0,1.0,beshkaram,beshkaram mfy
100,Andijon viloyati,Uzun ko'cha MFY,1703,Xo'jaobod tumani,1703236,1703236004.0,3386.4850425934,630160.1702257994,uzun kocha mfy,203055461.0,UZUN KOʻCHA,1234.0,1.0,uzun kocha,uzun kocha mfy
101,Andijon viloyati,Navbaxor MFY,1703,Xo'jaobod tumani,1703236,1703236003.0,6863.4767529167,1809283.542209248,navbahor mfy,203058125.0,NAVBAHOR,1230.0,1.0,navbahor,navbahor mfy
102,Andijon viloyati,Jome MFY,1703,Xo'jaobod tumani,1703236,1703236032.0,11031.2565349248,3477846.7007543216,jome mfy,,,,,,
103,Andijon viloyati,Chimbuloq MFY,1703,Xo'jaobod tumani,1703236,1703236011.0,12414.3038420257,5124728.580349192,chimbuloq mfy,203058007.0,CHIMBULOQ,1245.0,2.0,chimbuloq,chimbuloq mfy
104,Andijon viloyati,Yuksalish MFY,1703,Xo'jaobod tumani,1703236,1703236008.0,17243.103761571,10435876.935931668,yuksalish mfy,203058093.0,YUKSALISH,1232.0,1.0,yuksalish,yuksalish mfy
105,Andijon viloyati,Guliston MFY,1703,Xo'jaobod tumani,1703236,1703236022.0,14009.4960072968,6417413.885260765,guliston mfy,203057965.0,GULISTON,1246.0,3.0,guliston,guliston mfy
106,Andijon viloyati,Manak MFY,1703,Xo'jaobod tumani,1703236,1703236021.0,9899.4185231313,4730851.439115739,manak mfy,,,,,,
107,Andijon viloyati,Anhor MFY,1703,Xonabod shahar,1703408,1703408014.0,9613.6837453101,2876380.3914310755,anhor mfy,,,,,,
108,Andijon viloyati,Bunyodkor MFY,1703,Xonabod shahar,1703408,1703408009.0,7629.0016480832,1961716.0824331008,bunyodkor mfy,202575630.0,BUNYODKOR,1356.0,3.0,bunyodkor,bunyodkor mfy
109,Andijon viloyati,Kampirovvot MFY,1703,Xonabod shahar,1703408,1703408015.0,28210.0731427573,22190578.231221758,kampirovvot mfy,,,,,,
110,Andijon viloyati,Mehmonobod MFY,1703,Xonabod shahar,1703408,1703408001.0,12709.9138630169,5160836.856668655,mehmonobod mfy,207079974.0,MEHMONOBOD,1348.0,1.0,mehmonobod,mehmonobod mfy
111,Andijon viloyati,Mustaqillik MFY,1703,Xonabod shahar,1703408,1703408002.0,11083.8750945946,2981164.6119637964,mustaqillik mfy,202579783.0,MUSTAQILLIK,1349.0,1.0,mustaqillik,mustaqillik mfy
