objectid,region_name,countryside_name,region_id,district_name,district_id,countryside_id_main,shape_Length,shape_Area,name_standardized_main,tin,name,countryside_id_new,sector,name_standardized_new,name_match
990,Farg'ona viloyati,Yabgiavlod MFY,1730,Rishton tumani,1730224,1730224064.0,30389.7427763621,16895686.824681196,yabgiavlod mfy,,,,,,
993,Farg'ona viloyati,Mexnatabod MFY,1730,Rishton tumani,1730224,1730224060.0,30254.0188553307,30140130.640084527,mehnatabod mfy,,,,,,
994,Farg'ona viloyati,Jaloyer MFY,1730,Rishton tumani,1730224,1730224045.0,38422.4568135323,18333081.795324355,jaloyer mfy,,,,,,
1001,Farg'ona viloyati,Suxobod MFY,1730,Rishton tumani,1730224,1730224063.0,26587.0817462551,20236938.75898103,suhobod mfy,,,,,,
1015,Farg'ona viloyati,Amirabod MFY,1730,Rishton tumani,1730224,1730224036.0,10404.4738430221,5704488.40401481,amirabod mfy,,,,,,
1034,Farg'ona viloyati,Alisher Navoiy MFY,1730,Rishton tumani,1730224,1730224014.0,9250.2900822333,2431242.5979816527,alisher navoiy mfy,,,,,,
1035,Farg'ona viloyati,Dаxbed MFY,1730,Rishton tumani,1730224,1730224013.0,2077.0049604146,206067.5532341944,dаhbed mfy,,,,,,
1039,Farg'ona viloyati,Anor bo`yi MFY,1730,Rishton tumani,1730224,1730224020.0,6487.076980461,1588744.9416434371,anor boyi mfy,,,,,,
1099,Farg'ona viloyati,Jorqishloq MFY,1730,Toshloq tumani,1730227,1730227017.0,19973.8813678506,10255462.086000515,jorqishloq mfy,,,,,,
1124,Farg'ona viloyati,Yangibog‘ (Buyrak) MFY,1730,Uchko'prik tumani,1730221,1730221045.0,11779.4372426779,4351111.897334346,yangibog buyrak mfy,,,,,,
1141,Farg'ona viloyati,Yangiyo‘l MFY,1730,Uchko'prik tumani,1730221,1730221026.0,10691.7496108289,5751440.972130767,yangiyol mfy,,,,,,
1150,Farg'ona viloyati,Mashad MFY,1730,Uchko'prik tumani,1730221,1730221012.0,12970.6282978417,5506846.574539787,mashad mfy,,,,,,
1156,Farg'ona viloyati,Yangiyer MFY,1730,Uchko'prik tumani,1730221,1730221042.0,23867.4917883556,19399442.29811744,yangiyer mfy,,,,,,
1193,Farg'ona viloyati,Boy mahalla MFY,1730,Farg'ona tumani,1730233,1730233056.0,11991.9660729006,4884553.793801339,boy mahalla mfy,,,,,,
1204,Farg'ona viloyati,Bahor MFY,1730,Farg'ona tumani,1730233,1730233047.0,11985.0187637782,4369166.434645944,bahor mfy,,,,,,
1226,Farg'ona viloyati,Toshkurg‘oni aziz MFY,1730,Farg'ona tumani,1730233,1730233014.0,26784.0911963566,21405710.34076711,toshkurgoni aziz mfy,,,,,,
1233,Farg'ona viloyati,Konchilar MFY,1730,Farg'ona tumani,1730233,1730233075.0,9357.5738285836,2863925.8484932566,konchilar mfy,,,,,,
1314,Farg'ona viloyati,Xonobod MFY,1730,Quva tumani,1730218,1730218052.0,14243.7235599136,6971780.876767863,honobod mfy,,,,,,
1323,Farg'ona viloyati,Yangichek MFY,1730,Quva tumani,1730218,1730218014.0,30360.3838569447,18247799.16596669,yangichek mfy,,,,,,
1342,Farg'ona viloyati,Oltinko‘l MFY,1730,Beshariq tumani,1730215,1730215035.0,36632.4795206857,27328966.434794404,oltinkol mfy,,,,,,
1361,Farg'ona viloyati,Fayziobod MFY,1730,Beshariq tumani,1730215,1730215038.0,5001.5224634318,1334247.101583939,fayziobod mfy,,,,,,
1368,Farg'ona viloyati,Boy MFY,1730,Beshariq tumani,1730215,1730215052.0,4393.2220590591,1090391.654010597,boy mfy,,,,,,
1375,Farg'ona viloyati,Adolat (Tovul) MFY,1730,Beshariq tumani,1730215,1730215012.0,42256.4969704831,65234747.03935599,adolat tovul mfy,,,,,,
1380,Farg'ona viloyati,Iftihor MFY,1730,Beshariq tumani,1730215,1730215016.0,12157.6524642258,6884615.639198427,iftihor mfy,,,,,,
1381,Farg'ona viloyati,Koraqo‘yli MFY,1730,Beshariq tumani,1730215,1730215013.0,12074.6365513019,6566453.222937108,koraqoyli mfy,,,,,,
1385,Farg'ona viloyati,Yakkatut MFY,1730,Beshariq tumani,1730215,1730215007.0,9364.5603260364,4378269.2014318295,yakkatut mfy,,,,,,
1391,Farg'ona viloyati,Andarxon (Chinobod) MFY,1730,Beshariq tumani,1730215,1730215023.0,39790.4440309168,44290164.72200177,andarhon chinobod mfy,,,,,,
1414,Farg'ona viloyati,Qizil qiyaq MFY,1730,Furqat tumani,1730238,1730238017.0,11990.2398405034,6559176.312814114,qizil qiyaq mfy,,,,,,
1433,Farg'ona viloyati,Navro‘z MFY,1730,Uchko'prik tumani,1730221,1730221049.0,53625.1090912864,30521424.16604584,navroz mfy,,,,,,
1438,Farg'ona viloyati,Yangiariq MFY,1730,Qo'shtepa tumani,1730206,1730206044.0,39080.2259489089,39099791.52699102,yangiariq mfy,,,,,,
1504,Farg'ona viloyati,Farovonlik MFY,1730,Oltiariq tumani,1730203,1730203047.0,6844.368614471,2666366.346596157,farovonlik mfy,,,,,,
1526,Farg'ona viloyati,H.Olimjon MFY,1730,Oltiariq tumani,1730203,1730203005.0,5905.4888050418,1435408.8700517756,holimjon mfy,,,,,,
1544,Farg'ona viloyati,Navquron MFY,1730,Oltiariq tumani,1730203,1730203070.0,8967.0938133368,2636923.9046092285,navquron mfy,,,,,,
1553,Farg'ona viloyati,Muqumiy MFY,1730,Oltiariq tumani,1730203,1730203016.0,8424.9581841275,1183034.9232504752,muqumiy mfy,,,,,,
1558,Farg'ona viloyati,Yangihayot MFY,1730,Oltiariq tumani,1730203,1730203002.0,6688.1517686423,1926083.1232340457,yangihayot mfy,,,,,,
1593,Farg'ona viloyati,Alisher Navoiy MFY,1730,Qo'qon shahar,1730405,1730405041.0,3271.3530171988,634753.4678392076,alisher navoiy mfy,,,,,,
1609,Farg'ona viloyati,Yangiobod MFY,1730,Qo'qon shahar,1730405,1730405064.0,3510.8765061882,509225.9952923913,yangiobod mfy,,,,,,
1625,Farg'ona viloyati,G‘ishtko‘prik MFY,1730,Qo'qon shahar,1730405,1730405054.0,4482.4334272203,1003503.9041988166,gishtkoprik mfy,,,,,,
1641,Farg'ona viloyati,Kimyogarlar MFY,1730,Farg'ona shahar,1730401,1730401026.0,2730.8099219271,274505.6945904453,kimyogarlar mfy,,,,,,
1655,Farg'ona viloyati,Navro‘z MFY,1730,Farg'ona shahar,1730401,1730401046.0,6447.4922623284,2005825.2575451208,navroz mfy,,,,,,
1664,Farg'ona viloyati,Zaxiriddin Muxammad Bobur MFY,1730,Farg'ona shahar,1730401,1730401008.0,2658.342062158,345769.1622051256,zahiriddin muhammad bobur mfy,,,,,,
1669,Farg'ona viloyati,Sharof Rashidov MFY,1730,Farg'ona shahar,1730401,1730401063.0,3098.5261351343,429758.5043705308,sharof rashidov mfy,,,,,,
1675,Farg'ona viloyati,Abduraxmon Jomiy MFY,1730,Farg'ona shahar,1730401,1730401007.0,3163.6887925728,352328.3884711353,abdurahmon jomiy mfy,,,,,,
1676,Farg'ona viloyati,Abdulla Qodiriy MFY,1730,Farg'ona shahar,1730401,1730401016.0,3577.0572164143,426071.873934919,abdulla qodiriy mfy,,,,,,
1686,Farg'ona viloyati,Alisher Navoiy MFY,1730,Farg'ona shahar,1730401,1730401061.0,4140.322345767,650970.7776286997,alisher navoiy mfy,,,,,,
1696,Farg'ona viloyati,O‘rta qishloq MFY,1730,O'zbekiston tumani,1730230,1730230031.0,10046.3211599346,2949563.2049976904,orta qishloq mfy,,,,,,
1701,Farg'ona viloyati,Qum (Oydinbuloq) MFY,1730,O'zbekiston tumani,1730230,1730405072.0,12603.2176352962,5322469.371755744,qum oydinbuloq mfy,,,,,,
1704,Farg'ona viloyati,Oqtepa MFY,1730,O'zbekiston tumani,1730230,1730230050.0,7433.2940259812,2136570.329998647,oqtepa mfy,,,,,,
1714,Farg'ona viloyati,Tinchlik (Tovush) MFY,1730,O'zbekiston tumani,1730230,1730230034.0,18995.1119023105,8343660.969931502,tinchlik tovush mfy,,,,,,
1722,Farg'ona viloyati,Mevazor (Oyimchaqaqir) MFY,1730,O'zbekiston tumani,1730230,1730230013.0,12457.1208045125,5481004.792256475,mevazor oyimchaqaqir mfy,,,,,,
1724,Farg'ona viloyati,Karimobod (Karimdevona) MFY,1730,O'zbekiston tumani,1730230,1730230014.0,6640.918401824,2302454.877354379,karimobod karimdevona mfy,,,,,,
1725,Farg'ona viloyati,A.Jomiy MFY,1730,O'zbekiston tumani,1730230,1730230051.0,6121.0386601449,775078.3606627784,ajomiy mfy,,,,,,
1737,Farg'ona viloyati,Yangi Xayot MFY,1730,O'zbekiston tumani,1730230,1730230064.0,34860.2861404226,39177298.00110738,yangi hayot mfy,,,,,,
1740,Farg'ona viloyati,Аvg‘on MFY,1730,O'zbekiston tumani,1730230,1730230025.0,10005.2037007876,3707069.708651639,аvgon mfy,,,,,,
1775,Jizzax viloyati,H.Olimjon MFY,1708,Jizzax shahar,1708401,1708401016.0,6931.0355351335,1634948.9966191256,holimjon mfy,,,,,,
1776,Jizzax viloyati,A.Navioiy MFY,1708,Jizzax shahar,1708401,1708401009.0,6335.2221996164,1753834.662720907,anavioiy mfy,,,,,,
1778,Jizzax viloyati,Hayravod MFY,1708,Jizzax shahar,1708401,1708401010.0,11926.9300709893,2436499.4062374453,hayravod mfy,,,,,,
1780,Jizzax viloyati,Xalqabod MFY,1708,Jizzax shahar,1708401,1708401020.0,6046.1716056484,1180349.0543642782,halqabod mfy,,,,,,
1789,Jizzax viloyati,Uchariq MFY,1708,Jizzax shahar,1708401,1708401017.0,6527.9386741022,1847058.1767090813,uchariq mfy,,,,,,
1800,Jizzax viloyati,Navroʻz MFY,1708,Jizzax shahar,1708401,1708401030.0,6800.4109759645,2060586.185985919,navroz mfy,,,,,,
1804,Jizzax viloyati,M.Ulugʻbek MFY,1708,Jizzax shahar,1708401,1708401006.0,11671.8907905737,3675154.4812364806,mulugbek mfy,,,,,,
1807,Jizzax viloyati,Bunyotkor MFY,1708,Jizzax shahar,1708401,1708401008.0,25200.3481809369,13511020.65627484,bunyotkor mfy,,,,,,
1911,Jizzax viloyati,Sug'diyona MFY,1708,Sh.Rashidov tumani,1708212,1708212013.0,19549.7295715332,16256202.971088735,sugdiyona mfy,,,,,,
1920,Jizzax viloyati,Ravallik MFY,1708,Sh.Rashidov tumani,1708212,1708212024.0,15495.0826517767,5868136.171669405,ravallik mfy,,,,,,
1926,Jizzax viloyati,Qorayontoq MFY,1708,Sh.Rashidov tumani,1708212,1708212032.0,25681.0823118971,9319173.174570687,qorayontoq mfy,,,,,,
1941,Jizzax viloyati,Ravot MFY,1708,Sh.Rashidov tumani,1708212,1708212045.0,36726.0752943005,38636279.08730191,ravot mfy,,,,,,
1944,Jizzax viloyati,Yangi obod MFY,1708,Sh.Rashidov tumani,1708212,1708212047.0,17090.942025495,17116902.264413122,yangi obod mfy,,,,,,
1947,Jizzax viloyati,Fayzobod MFY,1708,Sh.Rashidov tumani,1708212,1708212035.0,37992.7446242245,28977944.09948574,fayzobod mfy,,,,,,
1957,Jizzax viloyati,Borlos MFY,1708,Baxmal tumani,1708204,1708204020.0,30883.2449048025,32812113.9344918,borlos mfy,,,,,,
1967,Jizzax viloyati,Molguzar(Davlat) MFY,1708,Baxmal tumani,1708204,1708204008.0,62868.8727939181,172894250.9182272,molguzardavlat mfy,,,,,,
1972,Jizzax viloyati,Bunyotkor MFY,1708,Baxmal tumani,1708204,1708204028.0,15267.6872686181,8107268.018369927,bunyotkor mfy,,,,,,
1976,Jizzax viloyati,Fazobod MFY,1708,Baxmal tumani,1708204,1708204032.0,41994.1994421862,63171020.15987376,fazobod mfy,,,,,,
1995,Namangan viloyati,Taxta koʻprik MFY,1714,Kosonsoy tumani,1714207,1714207052.0,12390.6746879435,6729976.071589266,tahta koprik mfy,,,,,,
2003,Namangan viloyati,Abduraxmon Jomiy MFY,1714,Kosonsoy tumani,1714207,1714207045.0,7608.9547094355,956268.2520942116,abdurahmon jomiy mfy,,,,,,
2004,Namangan viloyati,Alisher Navoiy MFY,1714,Kosonsoy tumani,1714207,1714207017.0,8770.8416932808,807132.1176287362,alisher navoiy mfy,,,,,,
2006,Namangan viloyati,Maxdumi Aʼzam MFY,1714,Kosonsoy tumani,1714207,1714207039.0,9507.652301149,1180440.5610273057,mahdumi aʼzam mfy,,,,,,
2008,Namangan viloyati,Sa‘diy Sheroziy MFY,1714,Kosonsoy tumani,1714207,1714207025.0,9477.7408681629,1044537.9958408682,sadiy sheroziy mfy,,,,,,
2010,Namangan viloyati,Navboxor-1 MFY,1714,Kosonsoy tumani,1714207,1714207007.0,7740.7578065553,1926996.9099593384,navbohor1 mfy,,,,,,
